mhd_file_path,mask_file_path,subset_id,series_id,total_images,origins,spacings,is_flip,ct_image_folder
../downloads/data/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260.mhd,../downloads/seg-lungs-LUNA16/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260.mhd,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,121,"[-335.209991, -195.0, -198.100006]","[2.5, 0.7617189884185791, 0.7617189884185791]",False,../data/images/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260
../downloads/data/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492.mhd,../downloads/seg-lungs-LUNA16/1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492.mhd,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,119,"[-313.75, -190.0, -182.5]","[2.5, 0.7421879768371582, 0.7421879768371582]",False,../data/images/1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492
../downloads/data/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059.mhd,../downloads/seg-lungs-LUNA16/1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059.mhd,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,161,"[-194.0, -108.300003, -187.699997]","[1.25, 0.5488280057907104, 0.5488280057907104]",False,../data/images/1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059
../downloads/data/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987.mhd,../downloads/seg-lungs-LUNA16/1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987.mhd,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,538,"[-298.774994, -143.100006, -180.600006]","[0.625, 0.7421879768371582, 0.7421879768371582]",False,../data/images/1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987
../downloads/data/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720.mhd,../downloads/seg-lungs-LUNA16/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720.mhd,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,124,"[-337.480011, -157.5, -166.399994]","[2.5, 0.6152340173721313, 0.6152340173721313]",False,../data/images/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720
../downloads/data/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565.mhd,../downloads/seg-lungs-LUNA16/1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565.mhd,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,195,"[-385.2, -326.638671875, -184.638671875]","[1.7999999523162842, 0.72265625, 0.72265625]",False,../data/images/1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565
../downloads/data/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514.mhd,../downloads/seg-lungs-LUNA16/1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514.mhd,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514,133,"[-330.0, -149.0, -139.100006]","[2.5, 0.5566409826278687, 0.5566409826278687]",False,../data/images/1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514
../downloads/data/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354.mhd,../downloads/seg-lungs-LUNA16/1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354.mhd,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354,672,"[-380.5, -319.1962890625, -163.1962890625]","[0.5, 0.607421875, 0.607421875]",False,../data/images/1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354
../downloads/data/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912.mhd,../downloads/seg-lungs-LUNA16/1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912.mhd,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,133,"[-353.329987, -180.0, -193.5]","[2.5, 0.703125, 0.703125]",False,../data/images/1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912
../downloads/data/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950.mhd,../downloads/seg-lungs-LUNA16/1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950.mhd,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950,483,"[872.0, -306.69141, -168.69141]","[0.699999988079071, 0.6171875, 0.6171875]",False,../data/images/1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950
